reference,pin,net,domain,description
KPRE,COIL-,PRECHARGE_COIL_LOW,CONTROL,Precharge relay coil return
QKPRE,D,PRECHARGE_COIL_LOW,CONTROL,Precharge coil low-side driver
QKPRE,S,PGND,CONTROL,Precharge coil driver return
QKPRE,G,PRECHARGE_CMD,CONTROL,Precharge coil command
K1,COIL+,RELAY12V,CONTROL,Main contactor coil
K1,COIL-,MAIN_COIL_LOW,CONTROL,Main contactor coil return
QK1,D,MAIN_COIL_LOW,CONTROL,Main coil low-side driver
QK1,S,PGND,CONTROL,Main coil driver return
QK1,G,MAIN_CONTACTOR_CMD,CONTROL,Main coil command
KAC,COIL+,RELAY12V,CONTROL,Grid breaker coil
KAC,COIL-,GRID_COIL_LOW,CONTROL,Grid breaker coil return
QKAC,D,GRID_COIL_LOW,CONTROL,Grid breaker low-side driver
QKAC,S,PGND,CONTROL,Grid breaker driver return
QKAC,G,GRID_BREAKER_CMD,CONTROL,Grid breaker command
U1,VDD,GD12V,GATE,Gate-driver bias
U1,VSS,PGND,GATE,Gate-driver ground
U1,HB,BOOT1+,GATE,Bootstrap supply
CB1,1,BOOT1+,GATE,Bootstrap capacitor
CB1,2,SW_PV,GATE,Bootstrap return
U2,VDD,GD12V,GATE,Gate-driver bias
U2,VSS,PGND,GATE,Gate-driver ground
U2,HB,BOOT2+,GATE,Bootstrap supply
CB2,1,BOOT2+,GATE,Bootstrap capacitor
CB2,2,SW_DC,GATE,Bootstrap return
U3,VDD,GD12V,GATE,Gate-driver bias
U3,VSS,PGND,GATE,Gate-driver ground
U3,HB,BOOT3+,GATE,Bootstrap supply
CB3,1,BOOT3+,GATE,Bootstrap capacitor
CB3,2,SW_A,GATE,Bootstrap return
U4,VDD,GD12V,GATE,Gate-driver bias
U4,VSS,PGND,GATE,Gate-driver ground
U4,HB,BOOT4+,GATE,Bootstrap supply
CB4,1,BOOT4+,GATE,Bootstrap capacitor
CB4,2,AC_RETURN,GATE,Bootstrap return
UEN1,PWM,PWM1A_RAW,SAFETY,Raw PWM input
UEN1,ARM,PWM_ARM,SAFETY,Global PWM authorization
UEN1,ESTOP_N,ESTOP_N,SAFETY,Emergency stop interlock
UEN1,TRIP_N,TRIP_LATCH_N,SAFETY,Hardware trip interlock
UEN1,BIAS_OK,BIAS_POWER_GOOD,SAFETY,Gate-bias interlock
UEN1,OUT,PWM1A,SAFETY,Interlocked gate-driver input
UEN2,PWM,PWM1B_RAW,SAFETY,Raw PWM input
UEN2,ARM,PWM_ARM,SAFETY,Global PWM authorization
UEN2,ESTOP_N,ESTOP_N,SAFETY,Emergency stop interlock
UEN2,TRIP_N,TRIP_LATCH_N,SAFETY,Hardware trip interlock
UEN2,BIAS_OK,BIAS_POWER_GOOD,SAFETY,Gate-bias interlock
UEN2,OUT,PWM1B,SAFETY,Interlocked gate-driver input
UEN3,PWM,PWM2A_RAW,SAFETY,Raw PWM input
UEN3,ARM,PWM_ARM,SAFETY,Global PWM authorization
UEN3,ESTOP_N,ESTOP_N,SAFETY,Emergency stop interlock
UEN3,TRIP_N,TRIP_LATCH_N,SAFETY,Hardware trip interlock
UEN3,BIAS_OK,BIAS_POWER_GOOD,SAFETY,Gate-bias interlock
UEN3,OUT,PWM2A,SAFETY,Interlocked gate-driver input
UEN4,PWM,PWM2B_RAW,SAFETY,Raw PWM input
UEN4,ARM,PWM_ARM,SAFETY,Global PWM authorization
UEN4,ESTOP_N,ESTOP_N,SAFETY,Emergency stop interlock
UEN4,TRIP_N,TRIP_LATCH_N,SAFETY,Hardware trip interlock
UEN4,BIAS_OK,BIAS_POWER_GOOD,SAFETY,Gate-bias interlock
UEN4,OUT,PWM2B,SAFETY,Interlocked gate-driver input
UEN5,PWM,PWM3A_RAW,SAFETY,Raw PWM input
UEN5,ARM,PWM_ARM,SAFETY,Global PWM authorization
UEN5,ESTOP_N,ESTOP_N,SAFETY,Emergency stop interlock
UEN5,TRIP_N,TRIP_LATCH_N,SAFETY,Hardware trip interlock
UEN5,BIAS_OK,BIAS_POWER_GOOD,SAFETY,Gate-bias interlock
UEN5,OUT,PWM3A,SAFETY,Interlocked gate-driver input
UEN6,PWM,PWM3B_RAW,SAFETY,Raw PWM input
UEN6,ARM,PWM_ARM,SAFETY,Global PWM authorization
UEN6,ESTOP_N,ESTOP_N,SAFETY,Emergency stop interlock
UEN6,TRIP_N,TRIP_LATCH_N,SAFETY,Hardware trip interlock
UEN6,BIAS_OK,BIAS_POWER_GOOD,SAFETY,Gate-bias interlock
UEN6,OUT,PWM3B,SAFETY,Interlocked gate-driver input
UEN7,PWM,PWM4A_RAW,SAFETY,Raw PWM input
UEN7,ARM,PWM_ARM,SAFETY,Global PWM authorization
UEN7,ESTOP_N,ESTOP_N,SAFETY,Emergency stop interlock
UEN7,TRIP_N,TRIP_LATCH_N,SAFETY,Hardware trip interlock
UEN7,BIAS_OK,BIAS_POWER_GOOD,SAFETY,Gate-bias interlock
UEN7,OUT,PWM4A,SAFETY,Interlocked gate-driver input
UEN8,PWM,PWM4B_RAW,SAFETY,Raw PWM input
UEN8,ARM,PWM_ARM,SAFETY,Global PWM authorization
UEN8,ESTOP_N,ESTOP_N,SAFETY,Emergency stop interlock
UEN8,TRIP_N,TRIP_LATCH_N,SAFETY,Hardware trip interlock
UEN8,BIAS_OK,BIAS_POWER_GOOD,SAFETY,Gate-bias interlock
UEN8,OUT,PWM4B,SAFETY,Interlocked gate-driver input
U6,VS,3V3_A,ANALOG,U6 current sensor 3.3 V supply
U6,GND,AGND,ANALOG,U6 current sensor ground
U7,VS,3V3_A,ANALOG,U7 current sensor 3.3 V supply
U7,GND,AGND,ANALOG,U7 current sensor ground
U8,VS,3V3_A,ANALOG,U8 current sensor 3.3 V supply
U8,GND,AGND,ANALOG,U8 current sensor ground
U13,VS,3V3_A,ANALOG,TMP235 supply
U13,GND,AGND,ANALOG,TMP235 ground
JBIAS,1,GD12V,GATE,Gate-driver bias input
JBIAS,2,5V_ISO,ANALOG,Sensor supply input
JBIAS,3,3V3,DIGITAL,Digital supply
JBIAS,4,PGND,POWER,Power ground
JBIAS,5,DGND,DIGITAL,Digital ground
URS485,DI,RS485_TX,DIGITAL,Isolated RS485 transceiver input
URS485,RO,RS485_RX,DIGITAL,Isolated RS485 transceiver output
URS485,DE,RS485_DE,DIGITAL,Driver and receiver direction
URS485,A,RS485_A,COMMS,RS485 bus A
URS485,B,RS485_B,COMMS,RS485 bus B
URS485,VCC,3V3,DIGITAL,Logic-side supply
URS485,GND,DGND,DIGITAL,Logic-side ground
JCOM,1,RS485_A,COMMS,External RS485 A
JCOM,2,RS485_B,COMMS,External RS485 B
JCOM,3,COM_GND_ISO,COMMS,Isolated cable reference
URS485,GND_ISO,COM_GND_ISO,COMMS,Isolated bus reference
UBIAS,IN,GD12V,GATE,Gate-bias monitor input
UBIAS,OUT,BIAS_POWER_GOOD,SAFETY,Gate-bias power-good output
UBIAS,GND,PGND,GATE,Gate-bias monitor return
JCTRL,3V3,3V3,DIGITAL,Controller supply reference
JBIAS,6,RELAY12V,CONTROL,Relay coil supply
DKPRE,A,PRECHARGE_COIL_LOW,CONTROL,Precharge flyback diode anode
DKPRE,K,RELAY12V,CONTROL,Precharge flyback diode cathode
DK1,A,MAIN_COIL_LOW,CONTROL,Main contactor flyback diode anode
DK1,K,RELAY12V,CONTROL,Main contactor flyback diode cathode
DKAC,A,GRID_COIL_LOW,CONTROL,Grid breaker flyback diode anode
DKAC,K,RELAY12V,CONTROL,Grid breaker flyback diode cathode
U6,VREF,VREF_U6,ANALOG,Zero-current reference output
U6,VOC,VOC_U6,ANALOG,30 A overcurrent threshold input
U6,ALERT,SENSOR_ALERT_N,SAFETY,Open-drain sensor diagnostic output
U6,NC,NC_U6,ANALOG,Reserved pin left unconnected
RVH6,1,VREF_U6,ANALOG,VOC divider upper resistor 8.40 kohm
RVH6,2,VOC_U6,ANALOG,VOC divider upper resistor 8.40 kohm
RVL6,1,VOC_U6,ANALOG,VOC divider lower resistor 4.99 kohm
RVL6,2,AGND,ANALOG,VOC divider return
CVOC6,1,VOC_U6,ANALOG,10 uF threshold stabilizer
CVOC6,2,AGND,ANALOG,Threshold capacitor return
CVS6,1,3V3_A,ANALOG,100 nF local supply bypass
CVS6,2,AGND,ANALOG,Supply bypass return
CBULK6,1,3V3_A,ANALOG,10 uF local supply bulk capacitor
CBULK6,2,AGND,ANALOG,Supply bulk return
U7,VREF,VREF_U7,ANALOG,Zero-current reference output
U7,VOC,VOC_U7,ANALOG,30 A overcurrent threshold input
U7,ALERT,SENSOR_ALERT_N,SAFETY,Open-drain sensor diagnostic output
U7,NC,NC_U7,ANALOG,Reserved pin left unconnected
RVH7,1,VREF_U7,ANALOG,VOC divider upper resistor 8.40 kohm
RVH7,2,VOC_U7,ANALOG,VOC divider upper resistor 8.40 kohm
RVL7,1,VOC_U7,ANALOG,VOC divider lower resistor 4.99 kohm
RVL7,2,AGND,ANALOG,VOC divider return
CVOC7,1,VOC_U7,ANALOG,10 uF threshold stabilizer
CVOC7,2,AGND,ANALOG,Threshold capacitor return
CVS7,1,3V3_A,ANALOG,100 nF local supply bypass
CVS7,2,AGND,ANALOG,Supply bypass return
CBULK7,1,3V3_A,ANALOG,10 uF local supply bulk capacitor
CBULK7,2,AGND,ANALOG,Supply bulk return
U8,VREF,VREF_U8,ANALOG,Zero-current reference output
U8,VOC,VOC_U8,ANALOG,30 A overcurrent threshold input
U8,ALERT,SENSOR_ALERT_N,SAFETY,Open-drain sensor diagnostic output
U8,NC,NC_U8,ANALOG,Reserved pin left unconnected
RVH8,1,VREF_U8,ANALOG,VOC divider upper resistor 8.40 kohm
RVH8,2,VOC_U8,ANALOG,VOC divider upper resistor 8.40 kohm
RVL8,1,VOC_U8,ANALOG,VOC divider lower resistor 4.99 kohm
RVL8,2,AGND,ANALOG,VOC divider return
CVOC8,1,VOC_U8,ANALOG,10 uF threshold stabilizer
CVOC8,2,AGND,ANALOG,Threshold capacitor return
CVS8,1,3V3_A,ANALOG,100 nF local supply bypass
CVS8,2,AGND,ANALOG,Supply bypass return
CBULK8,1,3V3_A,ANALOG,10 uF local supply bulk capacitor
CBULK8,2,AGND,ANALOG,Supply bulk return
UTRIP,DIAG_N,SENSOR_ALERT_N,SAFETY,Current-sensor diagnostic input
UREF,IN+,VREF105_RAW,ANALOG,105 mV reference buffer
UREF,IN-,VREF105,ANALOG,105 mV reference buffer
UREF,OUT,VREF105,ANALOG,105 mV reference buffer
UREF,VS,3V3_A,ANALOG,105 mV reference buffer
UREF,GND,AGND,ANALOG,105 mV reference buffer
RREFH,1,3V3_A,ANALOG,30.4 kohm live-zero divider upper
RREFH,2,VREF105_RAW,ANALOG,30.4 kohm live-zero divider upper
RREFL,1,VREF105_RAW,ANALOG,1.00 kohm live-zero divider lower
RREFL,2,AGND,ANALOG,1.00 kohm live-zero divider lower
CREF,1,VREF105_RAW,ANALOG,100 nF live-zero filter
CREF,2,AGND,ANALOG,100 nF live-zero filter
CUREF,1,3V3_A,ANALOG,100 nF UREF bypass
CUREF,2,AGND,ANALOG,100 nF UREF bypass
UREF2,IN+,VREF165_RAW,ANALOG,1.65 V center-reference buffer
UREF2,IN-,VREF165,ANALOG,1.65 V center-reference buffer
UREF2,OUT,VREF165,ANALOG,1.65 V center-reference buffer
UREF2,VS,3V3_A,ANALOG,1.65 V center-reference buffer
UREF2,GND,AGND,ANALOG,1.65 V center-reference buffer
R165H,1,3V3_A,ANALOG,10.0 kohm center-reference upper
R165H,2,VREF165_RAW,ANALOG,10.0 kohm center-reference upper
R165L,1,VREF165_RAW,ANALOG,10.0 kohm center-reference lower
R165L,2,AGND,ANALOG,10.0 kohm center-reference lower
C165,1,VREF165_RAW,ANALOG,100 nF center-reference filter
C165,2,AGND,ANALOG,100 nF center-reference filter
CUREF2,1,3V3_A,ANALOG,100 nF UREF2 bypass
CUREF2,2,AGND,ANALOG,100 nF UREF2 bypass
U9,IN+,PV_DIV,ANALOG,PV voltage buffer
U9,IN-,PV_BUF,ANALOG,PV voltage buffer
U9,OUT,PV_BUF,ANALOG,PV voltage buffer
U9,VS,3V3_A,ANALOG,PV voltage buffer
U9,GND,AGND,ANALOG,PV voltage buffer
RPVH1,1,PV_SENSED+,ANALOG,100 kohm divider upper 1
RPVH1,2,PV_DIV_MID,ANALOG,100 kohm divider upper 1
RPVH2,1,PV_DIV_MID,ANALOG,100 kohm divider upper 2
RPVH2,2,PV_DIV,ANALOG,100 kohm divider upper 2
RPVL,1,PV_DIV,ANALOG,10.0 kohm divider lower
RPVL,2,VREF105,ANALOG,10.0 kohm divider lower
RFPV,1,PV_BUF,ANALOG,1.00 kohm ADC isolation resistor
RFPV,2,ADC_PV_V,ANALOG,1.00 kohm ADC isolation resistor
CFPV,1,ADC_PV_V,ANALOG,4.7 nF ADC charge-bucket capacitor
CFPV,2,AGND,ANALOG,4.7 nF ADC charge-bucket capacitor
CU9,1,3V3_A,ANALOG,100 nF local bypass
CU9,2,AGND,ANALOG,100 nF local bypass
U10,IN+,DC_DIV,ANALOG,DC voltage buffer
U10,IN-,DC_BUF,ANALOG,DC voltage buffer
U10,OUT,DC_BUF,ANALOG,DC voltage buffer
U10,VS,3V3_A,ANALOG,DC voltage buffer
U10,GND,AGND,ANALOG,DC voltage buffer
RDCH1,1,DC48+,ANALOG,100 kohm divider upper 1
RDCH1,2,DC_DIV_MID,ANALOG,100 kohm divider upper 1
RDCH2,1,DC_DIV_MID,ANALOG,100 kohm divider upper 2
RDCH2,2,DC_DIV,ANALOG,100 kohm divider upper 2
RDCL,1,DC_DIV,ANALOG,10.0 kohm divider lower
RDCL,2,VREF105,ANALOG,10.0 kohm divider lower
RFDC,1,DC_BUF,ANALOG,1.00 kohm ADC isolation resistor
RFDC,2,ADC_VDC,ANALOG,1.00 kohm ADC isolation resistor
CFDC,1,ADC_VDC,ANALOG,4.7 nF ADC charge-bucket capacitor
CFDC,2,AGND,ANALOG,4.7 nF ADC charge-bucket capacitor
CU10,1,3V3_A,ANALOG,100 nF local bypass
CU10,2,AGND,ANALOG,100 nF local bypass
U11,DCDC_OUT,U11_DCDC_HI,ANALOG,AMC3330 isolated voltage amplifier
U11,DCDC_HGND,AC_RETURN,ANALOG,AMC3330 isolated voltage amplifier
U11,HLDO_IN,U11_DCDC_HI,ANALOG,AMC3330 isolated voltage amplifier
U11,NC,NC_U11,ANALOG,AMC3330 isolated voltage amplifier
U11,HLDO_OUT,U11_HLDO,ANALOG,AMC3330 isolated voltage amplifier
U11,INP,U11_VSENSE,ANALOG,AMC3330 isolated voltage amplifier
U11,INN,AC_RETURN,ANALOG,AMC3330 isolated voltage amplifier
U11,HGND,AC_RETURN,ANALOG,AMC3330 isolated voltage amplifier
U11,GND,AGND,ANALOG,AMC3330 isolated voltage amplifier
U11,OUTN,U11_OUTN,ANALOG,AMC3330 isolated voltage amplifier
U11,OUTP,U11_OUTP,ANALOG,AMC3330 isolated voltage amplifier
U11,VDD,3V3_A,ANALOG,AMC3330 isolated voltage amplifier
U11,LDO_OUT,U11_DCDC_LO,ANALOG,AMC3330 isolated voltage amplifier
U11,DIAG,AFE_DIAG_N,ANALOG,AMC3330 isolated voltage amplifier
U11,DCDC_GND,AGND,ANALOG,AMC3330 isolated voltage amplifier
U11,DCDC_IN,U11_DCDC_LO,ANALOG,AMC3330 isolated voltage amplifier
RU11H1,1,AC_INV,ANALOG,249 kohm isolation divider upper 1
RU11H1,2,U11_DIV_MID,ANALOG,249 kohm isolation divider upper 1
RU11H2,1,U11_DIV_MID,ANALOG,249 kohm isolation divider upper 2
RU11H2,2,U11_VSENSE,ANALOG,249 kohm isolation divider upper 2
RU11L,1,U11_VSENSE,ANALOG,10.0 kohm isolation divider shunt
RU11L,2,AC_RETURN,ANALOG,10.0 kohm isolation divider shunt
CU11IN,1,U11_VSENSE,ANALOG,1 nF isolated input filter
CU11IN,2,AC_RETURN,ANALOG,1 nF isolated input filter
CU11VDD1N,1,3V3_A,ANALOG,1 nF AMC3330 bypass
CU11VDD1N,2,AGND,ANALOG,1 nF AMC3330 bypass
CU11VDD1U,1,3V3_A,ANALOG,1 uF AMC3330 bypass
CU11VDD1U,2,AGND,ANALOG,1 uF AMC3330 bypass
CU11DCL,1,U11_DCDC_LO,ANALOG,100 nF AMC3330 bypass
CU11DCL,2,AGND,ANALOG,100 nF AMC3330 bypass
CU11DCH1N,1,U11_DCDC_HI,ANALOG,1 nF AMC3330 bypass
CU11DCH1N,2,AC_RETURN,ANALOG,1 nF AMC3330 bypass
CU11DCH1U,1,U11_DCDC_HI,ANALOG,1 uF AMC3330 bypass
CU11DCH1U,2,AC_RETURN,ANALOG,1 uF AMC3330 bypass
CU11HLO1N,1,U11_HLDO,ANALOG,1 nF AMC3330 bypass
CU11HLO1N,2,AC_RETURN,ANALOG,1 nF AMC3330 bypass
CU11HLO100N,1,U11_HLDO,ANALOG,100 nF AMC3330 bypass
CU11HLO100N,2,AC_RETURN,ANALOG,100 nF AMC3330 bypass
U14,IN+,U14_NP,ANALOG,AMC3330 ADC driver
U14,IN-,U14_NN,ANALOG,AMC3330 ADC driver
U14,OUT,U14_OUT,ANALOG,AMC3330 ADC driver
U14,VS,3V3_A,ANALOG,AMC3330 ADC driver
U14,GND,AGND,ANALOG,AMC3330 ADC driver
RU14INN,1,U11_OUTN,ANALOG,20.0 kohm difference input
RU14INN,2,U14_NN,ANALOG,20.0 kohm difference input
RU14FB,1,U14_OUT,ANALOG,15.0 kohm feedback
RU14FB,2,U14_NN,ANALOG,15.0 kohm feedback
RU14INP,1,U11_OUTP,ANALOG,20.0 kohm difference input
RU14INP,2,U14_NP,ANALOG,20.0 kohm difference input
RU14REF,1,VREF165,ANALOG,15.0 kohm reference leg
RU14REF,2,U14_NP,ANALOG,15.0 kohm reference leg
RFU14,1,U14_OUT,ANALOG,1.00 kohm ADC isolation resistor
RFU14,2,ADC_GRID_V,ANALOG,1.00 kohm ADC isolation resistor
CFU14,1,ADC_GRID_V,ANALOG,4.7 nF ADC charge-bucket capacitor
CFU14,2,AGND,ANALOG,4.7 nF ADC charge-bucket capacitor
CU14,1,3V3_A,ANALOG,100 nF local bypass
CU14,2,AGND,ANALOG,100 nF local bypass
U12,DCDC_OUT,U12_DCDC_HI,ANALOG,AMC3330 isolated voltage amplifier
U12,DCDC_HGND,AC_RETURN,ANALOG,AMC3330 isolated voltage amplifier
U12,HLDO_IN,U12_DCDC_HI,ANALOG,AMC3330 isolated voltage amplifier
U12,NC,NC_U12,ANALOG,AMC3330 isolated voltage amplifier
